path,label,user_id,source
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/0.jpg,real,17,Real
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/1.jpg,real,6,Real
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/2.jpg,morph,5,FaceBlender
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/3.jpg,real,9,Real
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/4.jpg,morph,46,FaceBlender_restored
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/5.jpg,morph,3,FaceMorpher_restored
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/6.jpg,morph,3,FaceMorpher
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/7.jpg,real,9,Real
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/8.jpg,morph,6,FaceMorpher
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/9.jpg,morph,46,FaceBlender
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/10.jpg,real,19,Real
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/11.jpg,real,26,Real
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/12.jpg,morph,5,FaceBlender_restored
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/13.jpg,real,28,Real
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/14.jpg,morph,9,FaceBlender_restored
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/15.jpg,morph,3,FaceMorpher_restored
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/16.jpg,real,24,Real
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/17.jpg,real,27,Real
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/18.jpg,morph,45,FaceBlender
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/19.jpg,real,6,Real
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/20.jpg,real,13,Real
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/21.jpg,real,16,Real
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/22.jpg,morph,22,FaceBlender_restored
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/23.jpg,morph,3,FaceMorpher_restored
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/24.jpg,morph,43,FaceBlender_restored
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/25.jpg,real,3,Real
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/26.jpg,morph,45,FaceBlender_restored
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/27.jpg,real,43,Real
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/28.jpg,morph,9,FaceBlender_restored
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/29.jpg,real,9,Real
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/30.jpg,morph,28,FaceMorpher
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/31.jpg,real,4,Real
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/32.jpg,morph,43,FaceBlender_restored
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/33.jpg,morph,6,FaceBlender_restored
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/34.jpg,morph,5,FaceBlender_restored
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/35.jpg,morph,2,FaceMorpher_restored
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/36.jpg,real,3,Real
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/37.jpg,morph,3,FaceMorpher
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/38.jpg,real,19,Real
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/39.jpg,morph,16,FaceBlender_restored
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/40.jpg,real,27,Real
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/41.jpg,real,43,Real
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/42.jpg,real,6,Real
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/43.jpg,morph,28,FaceMorpher_restored
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/44.jpg,real,16,Real
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/45.jpg,real,6,Real
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/46.jpg,morph,45,FaceMorpher
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/47.jpg,morph,46,FaceBlender_restored
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/48.jpg,real,4,Real
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/49.jpg,morph,45,FaceBlender
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/50.jpg,morph,43,FaceBlender_restored
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/51.jpg,real,27,Real
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/52.jpg,morph,9,FaceMorpher_restored
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/53.jpg,real,19,Real
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/54.jpg,real,20,Real
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/55.jpg,real,6,Real
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/56.jpg,real,9,Real
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/57.jpg,real,21,Real
/content/drive/MyDrive/workspace3/apemorph_train_mtcnn/58.jpg,morph,4,FaceBlender
